Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,32000,Event -10,0.019305304539692397,-9,cycling_4,0.075
42,32000,Event -11,0.008664986179456435,-10,cycling_4,0.075
42,32000,Event -12,0.006515325888381794,-11,cycling_4,0.075
42,32000,Event -13,0.019593062012116164,-12,cycling_4,0.075
42,32000,Event -14,0.007679880841398867,-13,cycling_4,0.075
42,32000,Event -15,0.013171309082598032,-14,cycling_4,0.075
42,32000,Pruned Events,0.08737178208324947,1,cycling_4,0.075
42,32000,Event -1,0.017858170127292784,0,cycling_6,0.05
42,32000,Event -2,0.011996240101019077,-1,cycling_6,0.05
42,32000,Event -3,0.010792621965285111,-2,cycling_6,0.05
42,32000,Event -4,0.00548082857350805,-3,cycling_6,0.05
42,32000,Event -5,0.015352755638554406,-4,cycling_6,0.05
42,32000,Event -6,0.018089409166175272,-5,cycling_6,0.05
42,32000,Event -7,0.008267096420692694,-6,cycling_6,0.05
42,32000,Event -8,0.02177240997214843,-7,cycling_6,0.05
42,32000,Event -9,0.019472209647942877,-8,cycling_6,0.05
42,32000,Event -10,0.008418318261908218,-9,cycling_6,0.05
42,32000,Event -11,0.0030289439910025882,-10,cycling_6,0.05
42,32000,Event -12,0.014921324738780675,-11,cycling_6,0.05
42,32000,Event -13,0.009196216671828,-12,cycling_6,0.05
42,32000,Event -14,0.0036992270903976852,-13,cycling_6,0.05
42,32000,Event -15,0.01181698030543896,-14,cycling_6,0.05
42,32000,Event -16,0.008903079654472294,-15,cycling_6,0.05
42,32000,Event -17,0.0014546214953763403,-16,cycling_6,0.05
42,32000,Event -18,0.008923827923262212,-17,cycling_6,0.05
42,32000,Pruned Events,0.07198202342974191,1,cycling_6,0.05
42,32000,Event -1,0.01800396701314843,0,cycling_6,0.075
42,32000,Event -2,0.011882304669072807,-1,cycling_6,0.075
42,32000,Event -3,0.010572718337950496,-2,cycling_6,0.075
42,32000,Event -4,0.005116791170347232,-3,cycling_6,0.075
42,32000,Event -5,0.014975984360474176,-4,cycling_6,0.075
42,32000,Event -6,0.017530203280115647,-5,cycling_6,0.075
42,32000,Event -7,0.008550190523919969,-6,cycling_6,0.075
42,32000,Event -8,0.021418022110681875,-7,cycling_6,0.075
42,32000,Event -9,0.018849276941881432,-8,cycling_6,0.075
42,32000,Event -10,0.008158561955564685,-9,cycling_6,0.075
42,32000,Event -11,0.0025343450197629555,-10,cycling_6,0.075
42,32000,Event -12,0.014299661023235904,-11,cycling_6,0.075
42,32000,Event -13,0.009397384085401056,-12,cycling_6,0.075
42,32000,Event -14,0.004109939541024482,-13,cycling_6,0.075
42,32000,Event -15,0.011149805756417802,-14,cycling_6,0.075
42,32000,Pruned Events,0.09487714938582859,1,cycling_6,0.075
42,32000,Event -1,0.0057398389127039685,0,cycling_8,0.05
42,32000,Event -2,0.0109888079551834,-1,cycling_8,0.05
42,32000,Event -3,0.02443244682769239,-2,cycling_8,0.05
42,32000,Event -4,0.012689242495688938,-3,cycling_8,0.05
42,32000,Event -5,0.017018074025450688,-4,cycling_8,0.05
42,32000,Event -6,0.010644954633682306,-5,cycling_8,0.05
42,32000,Event -7,0.018337747022163814,-6,cycling_8,0.05
42,32000,Event -8,0.01428990260653129,-7,cycling_8,0.05
42,32000,Event -9,0.014901263972657952,-8,cycling_8,0.05
42,32000,Event -10,0.012448960405365386,-9,cycling_8,0.05
42,32000,Event -11,0.011525002140706925,-10,cycling_8,0.05
42,32000,Event -12,0.003939312800534875,-11,cycling_8,0.05
42,32000,Event -13,0.011969243187790662,-12,cycling_8,0.05
42,32000,Event -14,0.00984528517954665,-13,cycling_8,0.05
42,32000,Event -15,0.006385899930028423,-14,cycling_8,0.05
42,32000,Event -16,0.006195703337501506,-15,cycling_8,0.05
42,32000,Event -17,0.0068419506742897485,-16,cycling_8,0.05
42,32000,Event -18,0.008917370496426519,-17,cycling_8,0.05
