Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,-116,0.44263798743486404,cycling_1
Sum of contribution of events ≤ t,-116,9.573996067047119e-06,cycling_1
Sum of contribution of events > t,-117,0.4426381215453148,cycling_1
Sum of contribution of events ≤ t,-117,9.43988561630249e-06,cycling_1
Sum of contribution of events > t,-118,0.4426388517022133,cycling_1
Sum of contribution of events ≤ t,-118,8.709728717803955e-06,cycling_1
Sum of contribution of events > t,-119,0.44263944029808044,cycling_1
Sum of contribution of events ≤ t,-119,8.121132850646973e-06,cycling_1
Sum of contribution of events > t,-120,0.44264020025730133,cycling_1
Sum of contribution of events ≤ t,-120,7.361173629760742e-06,cycling_1
Sum of contribution of events > t,-121,0.4426407217979431,cycling_1
Sum of contribution of events ≤ t,-121,6.839632987976074e-06,cycling_1
Sum of contribution of events > t,-122,0.4426412656903267,cycling_1
Sum of contribution of events ≤ t,-122,6.295740604400635e-06,cycling_1
Sum of contribution of events > t,-123,0.4426415413618088,cycling_1
Sum of contribution of events ≤ t,-123,6.020069122314453e-06,cycling_1
Sum of contribution of events > t,-124,0.44264229387044907,cycling_1
Sum of contribution of events ≤ t,-124,5.2675604820251465e-06,cycling_1
Sum of contribution of events > t,-125,0.44264283776283264,cycling_1
Sum of contribution of events ≤ t,-125,4.723668098449707e-06,cycling_1
Sum of contribution of events > t,-126,0.44264325499534607,cycling_1
Sum of contribution of events ≤ t,-126,4.306435585021973e-06,cycling_1
Sum of contribution of events > t,-127,0.4426436498761177,cycling_1
Sum of contribution of events ≤ t,-127,3.91155481338501e-06,cycling_1
Sum of contribution of events > t,-128,0.44264398515224457,cycling_1
Sum of contribution of events ≤ t,-128,3.5762786865234375e-06,cycling_1
Sum of contribution of events > t,-129,0.44264406710863113,cycling_1
Sum of contribution of events ≤ t,-129,3.4943222999572754e-06,cycling_1
Sum of contribution of events > t,-130,0.44264453649520874,cycling_1
Sum of contribution of events ≤ t,-130,3.0249357223510742e-06,cycling_1
Sum of contribution of events > t,-131,0.4426446780562401,cycling_1
Sum of contribution of events ≤ t,-131,2.8833746910095215e-06,cycling_1
Sum of contribution of events > t,-132,0.4426449164748192,cycling_1
Sum of contribution of events ≤ t,-132,2.644956111907959e-06,cycling_1
Sum of contribution of events > t,-133,0.4426451325416565,cycling_1
Sum of contribution of events ≤ t,-133,2.428889274597168e-06,cycling_1
Sum of contribution of events > t,-134,0.44264527410268784,cycling_1
Sum of contribution of events ≤ t,-134,2.2873282432556152e-06,cycling_1
Sum of contribution of events > t,-135,0.4426454231142998,cycling_1
Sum of contribution of events ≤ t,-135,2.1383166313171387e-06,cycling_1
Sum of contribution of events > t,-136,0.4426456317305565,cycling_1
Sum of contribution of events ≤ t,-136,1.9297003746032715e-06,cycling_1
Sum of contribution of events > t,-137,0.4426458552479744,cycling_1
Sum of contribution of events ≤ t,-137,1.7061829566955566e-06,cycling_1
Sum of contribution of events > t,-138,0.44264598935842514,cycling_1
Sum of contribution of events ≤ t,-138,1.5720725059509277e-06,cycling_1
Sum of contribution of events > t,-139,0.4426461383700371,cycling_1
Sum of contribution of events ≤ t,-139,1.4230608940124512e-06,cycling_1
Sum of contribution of events > t,-140,0.44264622777700424,cycling_1
Sum of contribution of events ≤ t,-140,1.3336539268493652e-06,cycling_1
Sum of contribution of events > t,-141,0.4426462650299072,cycling_1
Sum of contribution of events ≤ t,-141,1.296401023864746e-06,cycling_1
Sum of contribution of events > t,-142,0.44264641404151917,cycling_1
Sum of contribution of events ≤ t,-142,1.1473894119262695e-06,cycling_1
Sum of contribution of events > t,-143,0.4426465630531311,cycling_1
Sum of contribution of events ≤ t,-143,9.98377799987793e-07,cycling_1
Sum of contribution of events > t,-144,0.4426466301083565,cycling_1
Sum of contribution of events ≤ t,-144,9.313225746154785e-07,cycling_1
Sum of contribution of events > t,-145,0.4426467567682266,cycling_1
Sum of contribution of events ≤ t,-145,8.046627044677734e-07,cycling_1
Sum of contribution of events > t,-146,0.4426468089222908,cycling_1
Sum of contribution of events ≤ t,-146,7.525086402893066e-07,cycling_1
Sum of contribution of events > t,-147,0.4426467940211296,cycling_1
Sum of contribution of events ≤ t,-147,7.674098014831543e-07,cycling_1
Sum of contribution of events > t,-148,0.4426468685269356,cycling_1
Sum of contribution of events ≤ t,-148,6.92903995513916e-07,cycling_1
Sum of contribution of events > t,-149,0.44264697283506393,cycling_1
Sum of contribution of events ≤ t,-149,5.885958671569824e-07,cycling_1
Sum of contribution of events > t,-150,0.4426470771431923,cycling_1
Sum of contribution of events ≤ t,-150,4.842877388000488e-07,cycling_1
Sum of contribution of events > t,-151,0.4426470994949341,cycling_1
Sum of contribution of events ≤ t,-151,4.6193599700927734e-07,cycling_1
Sum of contribution of events > t,-152,0.4426471218466759,cycling_1
Sum of contribution of events ≤ t,-152,4.3958425521850586e-07,cycling_1
Sum of contribution of events > t,-153,0.44264715909957886,cycling_1
Sum of contribution of events ≤ t,-153,4.023313522338867e-07,cycling_1
Sum of contribution of events > t,-154,0.44264718145132065,cycling_1
Sum of contribution of events ≤ t,-154,3.7997961044311523e-07,cycling_1
Sum of contribution of events > t,-155,0.44264720380306244,cycling_1
Sum of contribution of events ≤ t,-155,3.5762786865234375e-07,cycling_1
Sum of contribution of events > t,-156,0.4426472410559654,cycling_1
Sum of contribution of events ≤ t,-156,3.203749656677246e-07,cycling_1
Sum of contribution of events > t,-157,0.4426472708582878,cycling_1
Sum of contribution of events ≤ t,-157,2.905726432800293e-07,cycling_1
Sum of contribution of events > t,-158,0.4426473081111908,cycling_1
Sum of contribution of events ≤ t,-158,2.5331974029541016e-07,cycling_1
Sum of contribution of events > t,-159,0.4426473528146744,cycling_1
Sum of contribution of events ≤ t,-159,2.086162567138672e-07,cycling_1
Sum of contribution of events > t,-160,0.442647323012352,cycling_1
Sum of contribution of events ≤ t,-160,2.384185791015625e-07,cycling_1
Sum of contribution of events > t,-161,0.4426473379135132,cycling_1
Sum of contribution of events ≤ t,-161,2.2351741790771484e-07,cycling_1
Sum of contribution of events > t,-162,0.442647360265255,cycling_1
Sum of contribution of events ≤ t,-162,2.0116567611694336e-07,cycling_1
Sum of contribution of events > t,-163,0.44264741241931915,cycling_1
Sum of contribution of events ≤ t,-163,1.4901161193847656e-07,cycling_1
Sum of contribution of events > t,-164,0.44264739006757736,cycling_1
Sum of contribution of events ≤ t,-164,1.7136335372924805e-07,cycling_1
Sum of contribution of events > t,-165,0.44264741241931915,cycling_1
Sum of contribution of events ≤ t,-165,1.4901161193847656e-07,cycling_1
Sum of contribution of events > t,-166,0.44264744222164154,cycling_1
Sum of contribution of events ≤ t,-166,1.1920928955078125e-07,cycling_1
Sum of contribution of events > t,-167,0.44264743477106094,cycling_1
Sum of contribution of events ≤ t,-167,1.2665987014770508e-07,cycling_1
Sum of contribution of events > t,-168,0.44264744967222214,cycling_1
Sum of contribution of events ≤ t,-168,1.1175870895385742e-07,cycling_1
Sum of contribution of events > t,-169,0.44264744222164154,cycling_1
Sum of contribution of events ≤ t,-169,1.1920928955078125e-07,cycling_1
Sum of contribution of events > t,-170,0.44264745712280273,cycling_1
Sum of contribution of events ≤ t,-170,1.043081283569336e-07,cycling_1
Sum of contribution of events > t,-171,0.4426475018262863,cycling_1
Sum of contribution of events ≤ t,-171,5.960464477539063e-08,cycling_1
Sum of contribution of events > t,-172,0.4426475018262863,cycling_1
Sum of contribution of events ≤ t,-172,5.960464477539063e-08,cycling_1
Sum of contribution of events > t,-173,0.4426474794745445,cycling_1
Sum of contribution of events ≤ t,-173,8.195638656616211e-08,cycling_1
Sum of contribution of events > t,-174,0.4426475241780281,cycling_1
Sum of contribution of events ≤ t,-174,3.725290298461914e-08,cycling_1
Sum of contribution of events > t,-175,0.4426475316286087,cycling_1
Sum of contribution of events ≤ t,-175,2.9802322387695312e-08,cycling_1
Sum of contribution of events > t,-176,0.4426474943757057,cycling_1
Sum of contribution of events ≤ t,-176,6.705522537231445e-08,cycling_1
